J. Enkovaara et al.,Electronic structure calculations with GPAW: a real-space implementation of the projector augmented-wave method,Journal of Physics:Condensed Matter22(2010) 253202.
0.000000000000000000e+00 0.000000000000000000e+00 1.020817461640701751e+01 0.000000000000000000e+00
2.016706947378726356e-01 0.000000000000000000e+00 1.022851661365203313e+01 2.022629972792612356e-08
4.067390736257135986e-01 0.000000000000000000e+00 1.029158985978793694e+01 4.145786657934113133e-08
6.152917307823642101e-01 0.000000000000000000e+00 1.040174878009228188e+01 6.449719424509650143e-08
8.274182281482994616e-01 0.000000000000000000e+00 1.056548268456758066e+01 9.038116705452299872e-08
1.043211223728831571e+00 0.000000000000000000e+00 1.079222376518270821e+01 1.205409441394420339e-07
1.262766606545141945e+00 0.000000000000000000e+00 1.109569110705546002e+01 1.570823753456023469e-07
1.486183638706066956e+00 0.000000000000000000e+00 1.149621296884699362e+01 2.033101801474798478e-07
1.713565105042886838e+00 0.000000000000000000e+00 1.202498634820225298e+01 2.648097340331528048e-07
1.945017470781020830e+00 0.000000000000000000e+00 1.273259634347096814e+01 3.519602115355324590e-07
2.180651047756792860e+00 0.000000000000000000e+00 1.370842584929746444e+01 4.869298081868743924e-07
2.420580169724474207e+00 0.000000000000000000e+00 1.513737164549294434e+01 7.611644797823149875e-07
2.664923377338936472e+00 0.000000000000000000e+00 1.758342618512976685e+01 1.705197450828542516e-02
2.913803613442724316e+00 0.000000000000000000e+00 2.237235844876819968e+01 9.813458397697104596e-01
3.167348429333495474e+00 0.000000000000000000e+00 2.656202965596669330e+01 8.668402976998290654e+00
3.425690202738931323e+00 0.000000000000000000e+00 2.065764412346337764e+01 2.072608518021270996e+01
3.688966368281770158e+00 0.000000000000000000e+00 2.332990979120190644e+01 1.008197801215834488e+01
3.957319661277996836e+00 0.000000000000000000e+00 2.141191371106821251e+01 3.841346682989009054e+01
4.230898375776869003e+00 0.000000000000000000e+00 -4.567372257190555729e+00 4.205589817248161211e+01
4.509856637822944769e+00 0.000000000000000000e+00 -1.406288411551185824e+01 1.448320325558022681e+01
4.794354694998141930e+00 0.000000000000000000e+00 -4.886004151639626869e+00 7.943824935343817728e+00
5.084559223386716731e+00 0.000000000000000000e+00 -4.359286497549315076e-01 1.090768644895361561e+01
5.380643653198714738e+00 0.000000000000000000e+00 2.740422397811997257e+00 1.066612097089072719e+01
5.682788514388592560e+00 0.000000000000000000e+00 -4.358331324917845251e+00 2.448818935315044598e+01
5.991181803716242094e+00 0.000000000000000000e+00 -1.195558935590069005e+01 9.222232368180094397e+00
6.306019374818708556e+00 0.000000000000000000e+00 -9.115581829146186976e+00 7.284487822360686593e+00
6.627505352993247278e+00 0.000000000000000000e+00 -8.271587736932286106e+00 4.477024191495197591e+00
6.955852576537657761e+00 0.000000000000000000e+00 -6.309026697347754009e+00 2.283283190998028012e+00
7.291283066653026168e+00 0.000000000000000000e+00 -4.646115097276561023e+00 2.378180305481894408e+00
7.634028528088996346e+00 0.000000000000000000e+00 -3.674744514614300073e+00 1.904689913553218261e+00
7.984330882903883264e+00 0.000000000000000000e+00 -3.002442202063613230e+00 2.309667795596647810e+00
8.342442839923572606e+00 0.000000000000000000e+00 -2.896033883354208971e+00 2.257956138825091053e+00
8.708628502716102560e+00 0.000000000000000000e+00 -2.829576087666367368e+00 2.002740900434986315e+00
9.083164019155809399e+00 0.000000000000000000e+00 -2.463172592609549572e+00 1.500072984441944035e+00
9.466338275934440105e+00 0.000000000000000000e+00 -2.568747484519506852e+00 1.966828578449409726e+00
9.858453641690140046e+00 0.000000000000000000e+00 -2.599833021145642853e+00 6.722780815905124996e-01
1.025982676277171635e+01 0.000000000000000000e+00 -1.716195924787402127e+00 2.729246287033048057e-01
1.067078941603967834e+01 0.000000000000000000e+00 -1.031511294625545805e+00 5.918767463722385269e-01
1.109168942353119824e+01 0.000000000000000000e+00 -1.185812631257693983e+00 1.257211933436529039e+00
1.152289163428874552e+01 0.000000000000000000e+00 -1.334089558058115355e+00 5.473628806902967048e-01
1.196477897917745459e+01 0.000000000000000000e+00 -1.039079899448924316e+00 5.217873405237916096e-01
1.241775360510098203e+01 0.000000000000000000e+00 -9.017491012976197595e-01 4.042325603634155384e-01
1.288223809567694822e+01 0.000000000000000000e+00 -6.797772702468705130e-01 2.521535242171060176e-01
1.335867678616007659e+01 0.000000000000000000e+00 -4.781965861075776481e-01 3.152169411307997882e-01
1.384753718121336341e+01 0.000000000000000000e+00 -3.741917689284923743e-01 3.156198033107405765e-01
1.434931148503621934e+01 0.000000000000000000e+00 -2.822300299503328613e-01 3.207085474919550427e-01
1.486451825437694829e+01 0.000000000000000000e+00 -2.537191001913901012e-01 3.528075946919179140e-01
1.539370418609931512e+01 0.000000000000000000e+00 -2.377543500503238594e-01 2.580146593341783312e-01
1.593744605225703204e+01 0.000000000000000000e+00 -1.523055244728859225e-01 1.638942342762585991e-01
1.649635279707501923e+01 0.000000000000000000e+00 -4.437654832766790847e-02 1.219427648598861713e-01
1.707106781186547906e+01 0.000000000000000000e+00 3.888664667957020260e-02 1.107980421075809019e-01
1.766227140574599375e+01 0.000000000000000000e+00 1.148939997814956149e-01 7.395576800080549962e-02
1.827068349210739129e+01 0.000000000000000000e+00 2.034023621461961140e-01 6.083378290488341417e-02
1.889706651313569452e+01 0.000000000000000000e+00 2.632800707844609178e-01 8.466402415232562872e-02
1.954222862736747146e+01 0.000000000000000000e+00 2.973951186104007993e-01 7.213085348231380867e-02
2.020702718829872779e+01 0.000000000000000000e+00 3.512550625299936113e-01 4.226986940604599702e-02
2.089237254553188450e+01 0.000000000000000000e+00 4.005244801532524823e-01 5.323759101701949076e-02
2.159923220389858756e+01 0.000000000000000000e+00 4.405871631890514450e-01 3.289830679321278234e-02
2.232863538051680408e+01 0.000000000000000000e+00 4.909694211207223935e-01 3.091700339183903537e-02
2.308167800492121913e+01 0.000000000000000000e+00 5.213697124877656464e-01 4.594574541866016520e-02
2.385952821335335727e+01 0.000000000000000000e+00 5.464897657238516615e-01 2.817199951499569505e-02
2.466343239514304386e+01 0.000000000000000000e+00 5.800206333994946117e-01 2.432574038349176807e-02
2.549472185700614091e+01 0.000000000000000000e+00 6.113480206787260673e-01 1.692379449344181760e-02
2.635482018020869432e+01 0.000000000000000000e+00 6.446468446117601392e-01 1.448768183434161194e-02
2.724525135612032045e+01 0.000000000000000000e+00 6.723258919369797804e-01 2.054729351268006626e-02
2.816764879796090071e+01 0.000000000000000000e+00 6.914986014936590486e-01 2.367355420243541855e-02
2.912376534084571134e+01 0.000000000000000000e+00 7.095933871943551630e-01 1.990711652947756843e-02
3.011548435893191922e+01 0.000000000000000000e+00 7.301330376653196730e-01 1.696907075358256717e-02
3.114483214801795086e+01 0.000000000000000000e+00 7.501201689813106199e-01 1.718158230440056111e-02
3.221399174489827288e+01 0.000000000000000000e+00 7.652673888233567645e-01 2.009764224328419724e-02
3.332531838180036488e+01 0.000000000000000000e+00 7.785096950386404258e-01 1.622375732995093647e-02
3.448135680614780085e+01 0.000000000000000000e+00 7.951691278364434456e-01 1.256571512417293396e-02
3.568486073370711864e+01 0.000000000000000000e+00 8.105968746785892076e-01 1.438068954743724689e-02
3.693881474812398125e+01 0.000000000000000000e+00 8.248598015175478970e-01 1.330267982363018790e-02
3.824645901346084287e+01 0.000000000000000000e+00 8.355092720624452962e-01 1.923725792556986794e-02
3.961131723051123998e+01 0.000000000000000000e+00 8.420082872363692239e-01 1.728255747562981032e-02
4.103722834474329773e+01 0.000000000000000000e+00 8.504887755753390843e-01 1.403577105552203039e-02
4.252838260667311943e+01 0.000000000000000000e+00 8.601100362747891026e-01 1.070971878648610542e-02
4.408936269800265251e+01 0.000000000000000000e+00 8.708710821713239181e-01 7.855214371605986554e-03
