log10_mf_eV,log10_epsilon
-1.0000083626719003,-12.785704408630496
5.84136084480491e-06,-12.785704408630496
5.84136084480491e-06,-12.785704408630496
0.9999857983765725,-12.785704408630496
0.9999857983765725,-12.785704408630496
2.0000000024093167,-12.785704408630496
2.0000000024093167,-12.785704408630496
2.9999799594250445,-12.78446489317446
2.9999799594250445,-12.78446489317446
3.6552801601047378,-12.75656115546733
3.6552801601047378,-12.75656115546733
3.665285517625901,-12.754961741330654
3.665285517625901,-12.754961741330654
3.675256889557658,-12.753283027484684
3.675256889557658,-12.753283027484684
3.685262769934043,-12.751483534081483
3.685262769934043,-12.751483534081483
3.6952681274552064,-12.749485181407284
3.6952681274552064,-12.749485181407284
3.705274007831591,-12.747446568880676
3.705274007831591,-12.747446568880676
3.7152793653527545,-12.745248136939951
3.7152793653527545,-12.745248136939951
3.725285245729139,-12.742888665589584
3.725285245729139,-12.742888665589584
3.7352566176608963,-12.74037059482063
3.7352566176608963,-12.74037059482063
3.7452619751820597,-12.73761218493274
3.7452619751820597,-12.73761218493274
3.7552678555584444,-12.734693955630735
3.7552678555584444,-12.734693955630735
3.765273213079608,-12.731575647062204
3.765273213079608,-12.731575647062204
3.7752790934559926,-12.728137699665446
3.7752790934559926,-12.728137699665446
3.785284450977156,-12.724459413149749
3.785284450977156,-12.724459413149749
3.7952558229089126,-12.72038218809653
3.7952558229089126,-12.72038218809653
3.805261703285298,-12.7162647031909
3.805261703285298,-12.7162647031909
3.8152670608064607,-12.71110778209576
3.8152670608064607,-12.71110778209576
3.825272941182846,-12.705710521881684
3.825272941182846,-12.705710521881684
3.8352782987040093,-12.69971424386356
3.8352782987040093,-12.69971424386356
3.845284179080394,-12.693038428336566
3.845284179080394,-12.693038428336566
3.855255551012151,-12.685482996034176
3.855255551012151,-12.685482996034176
3.8652609085333145,-12.67696742725157
3.8652609085333145,-12.67696742725157
3.8752667889096992,-12.667092783451224
3.8752667889096992,-12.667092783451224
3.8852721464308626,-12.654620769172631
3.8852721464308626,-12.654620769172631
3.8952780268072473,-12.640948279294886
3.8952780268072473,-12.640948279294886
3.9052833843284103,-12.624317300262724
3.9052833843284103,-12.624317300262724
3.9152547562601674,-12.603410236906345
3.9152547562601674,-12.603410236906345
3.925260636636552,-12.57566631861333
3.925260636636552,-12.57566631861333
3.9352659941577155,-12.535050227508671
3.9352659941577155,-12.535050227508671
3.9452718745341007,-12.461133138482806
3.9452718745341007,-12.461133138482806
3.9552772320552636,-11.589318234486498
3.9552772320552636,-11.589318234486498
3.9652831124316488,-11.311719232142233
3.9652831124316488,-11.311719232142233
3.975254484363406,-11.223409855877343
3.975254484363406,-11.223409855877343
3.985259841884569,-11.164204692918734
3.985259841884569,-11.164204692918734
3.995265722260954,-11.118191341599998
3.995265722260954,-11.118191341599998
4.005271079782117,-11.079134404779603
4.005271079782117,-11.079134404779603
4.015276960158502,-11.044674411107184
4.015276960158502,-11.044674411107184
4.025282317679665,-11.013092386884358
4.025282317679665,-11.013092386884358
4.035253689611422,-10.984029653426013
4.035253689611422,-10.984029653426013
4.045259569987807,-10.95664563381364
4.045259569987807,-10.95664563381364
4.05526492750897,-10.930620689219005
4.05526492750897,-10.930620689219005
4.065270807885355,-10.905554661109058
4.065270807885355,-10.905554661109058
4.075276165406518,-10.881288950065212
4.075276165406518,-10.881288950065212
4.085282045782904,-10.857662516677827
4.085282045782904,-10.857662516677827
4.095253417714661,-10.834515541532786
4.095253417714661,-10.834515541532786
4.105258775235823,-10.811729685063913
4.105258775235823,-10.811729685063913
4.115264655612209,-10.789262247427743
4.115264655612209,-10.789262247427743
4.1252705359885935,-10.766954629205687
4.1252705359885935,-10.766954629205687
4.135275893509757,-10.744848310245683
4.135275893509757,-10.744848310245683
4.145281773886142,-10.722821290994974
4.145281773886142,-10.722821290994974
4.155253145817898,-10.700833311601148
4.155253145817898,-10.700833311601148
4.165258503339062,-10.678846552202849
4.165258503339062,-10.678846552202849
4.175264383715446,-10.657018392223137
4.175264383715446,-10.657018392223137
4.18526974123661,-10.634912073263134
4.18526974123661,-10.634912073263134
4.1952756216129945,-10.612724014602781
4.1952756216129945,-10.612724014602781
4.205280979134158,-10.590496916085545
4.205280979134158,-10.590496916085545
4.215252351065915,-10.567990438592492
4.215252351065915,-10.567990438592492
4.2252582314423,-10.545324141685324
4.2252582314423,-10.545324141685324
4.235263588963463,-10.522417505659218
4.235263588963463,-10.522417505659218
4.245269469339847,-10.499270530514178
4.245269469339847,-10.499270530514178
4.255274826861012,-10.475884436245728
4.255274826861012,-10.475884436245728
4.265280707237396,-10.452217743005932
4.265280707237396,-10.452217743005932
4.275286064758559,-10.428231410937906
4.275286064758559,-10.428231410937906
4.2852574366903164,-10.40388518018924
4.2852574366903164,-10.40388518018924
4.295263317066701,-10.379220530607874
4.295263317066701,-10.379220530607874
4.3052686745878646,-10.354194762350337
4.3052686745878646,-10.354194762350337
4.315274554964249,-10.328809095412161
4.315274554964249,-10.328809095412161
4.325279912485412,-10.302984230084052
4.325279912485412,-10.302984230084052
4.335285792861797,-10.276279747980547
4.335285792861797,-10.276279747980547
4.345257164793554,-10.249775345143568
4.345257164793554,-10.249775345143568
4.355262522314717,-10.222710964359422
4.355262522314717,-10.222710964359422
4.365268402691102,-10.194886526361586
4.365268402691102,-10.194886526361586
4.375273760212266,-10.167583026454032
4.375273760212266,-10.167583026454032
4.385279640588651,-10.139038791094915
4.385279640588651,-10.139038791094915
4.395284998109814,-10.10997605763657
4.395284998109814,-10.10997605763657
4.405256370041571,-10.080073967255244
4.405256370041571,-10.080073967255244
4.415262250417956,-10.049891277902567
4.415262250417956,-10.049891277902567
4.425267607939119,-10.019148610602727
4.425267607939119,-10.019148610602727
4.435273488315504,-9.987806925498836
4.435273488315504,-9.987806925498836
4.4452788458366665,-9.95594552230019
4.4452788458366665,-9.95594552230019
4.455284726213052,-9.923084942764447
4.455284726213052,-9.923084942764447
4.475261455665972,-9.85592296897487
4.475261455665972,-9.85592296897487
4.49527269356352,-9.789042814152168
